prima_asigurare,tip_plata,suma,tip_polita
230.25,CASH,230.25,1
305.91,CASH,305.91,1
414.01,CASH,414.01,1
179.26,CASH,179.26,1
302.94,CASH,302.94,1
414.01,CASH,414.01,1
159.89,CASH,159.89,1
116.28,CASH,116.28,1
250.49,CASH,250.49,1
256.79,CASH,256.79,1
218.51,CASH,218.51,1
305.91,CASH,305.91,1
370.8,CASH,370.8,1
74.8,OP,74.8,1
276.21,CASH,276.21,1
250.49,OP,250.49,1
250.49,OP,250.49,1
295.55,CASH,295.55,1
159.89,CASH,159.89,1
170.1,CASH,170.1,1
333.72,CASH,333.72,1
342.9,CASH,342.9,1
630,CASH,180,3
630,CASH,180,3
630,OP,150,3
630,OP,150,3
112.5,CASH,112.5,4
112.5,CASH,112.5,4
240,CASH,240,4
240,CASH,240,4
58.5,CASH,58.5,4
58.5,CASH,58.5,4
58.5,CASH,58.5,4
58.5,CASH,58.5,4
93,CASH,93,4
93,CASH,93,4
72,CASH,72,4
72,CASH,72,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
81,CASH,81,4
81,CASH,81,4
54,CASH,54,4
54,CASH,54,4
54,CASH,54,4
54,CASH,54,4
52.5,CASH,52.5,4
52.5,CASH,52.5,4
58,CASH,58,4
58,CASH,58,4
59,CASH,59,4
59,CASH,59,4
112.5,CASH,112.5,4
112.5,CASH,112.5,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
107,CASH,107,4
107,CASH,107,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
123.9,CASH,123.9,4
123.9,CASH,123.9,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
59,CASH,59,4
59,CASH,59,4
106.2,CASH,106.2,4
106.2,CASH,106.2,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
190.57,CASH,190.57,4
190.57,CASH,190.57,4
41,CASH,175.65,3
41,CASH,175.65,3
100,CASH,100,3
100,CASH,100,3
312.5,CASH,312.5,4
312.5,CASH,312.5,4
72,CASH,155,3
72,CASH,155,3
72,CASH,150.32,3
72,CASH,150.32,3
88.5,CASH,88.5,4
88.5,CASH,88.5,4
8700,OP,725,3
8700,OP,725,3
8700,OP,725,3
8700,OP,725,3
8700,OP,725,3
8700,OP,725,3
90,CASH,90,1
90,CASH,90,1
2376,CASH,594,3
2376,CASH,594,3
2376,OP,594,3
1804,CASH,451,3
1804,CASH,451,3
1804,OP,451,3
1552,OP,388,3
1552,OP,388,3
464,OP,1976,3
252,CASH,252,3
252,CASH,252,3
6000,OP,6448.2,6
6000,OP,6193.05,6
6000,CASH,6246.15,6
6000,CASH,6246.15,6
11350,OP,2838,6
11350,OP,2838,6
11350,OP,2837,6
11350,OP,2837,6
504,OP,1074,2
504,OP,1031.41,2
3885,OP,972,2
3885,OP,971,2
3885,OP,971,2
3885,OP,971,2
6092,OP,6560.93,3
6092,OP,6472.14,3
6092,OP,6233.49,3
6092,OP,6432.24,3
3174,OP,3424.78,3
3174,OP,3369.93,3
3174,OP,3245.67,3
3174,OP,3349.16,3
8460,OP,9111.21,3
8460,OP,8987.9,3
8460,OP,8656.48,3
8460,OP,8932.49,3
10010,OP,10786.98,3
10010,OP,10632.5,3
10010,OP,10240.44,3
10010,OP,10566.95,3
723,OP,723,1
377,OP,377,1
104,OP,104,1
104,OP,104,1
104,OP,104,1
104,OP,104,1
104,OP,104,1
1015,OP,1015,1
45,OP,45,6
759.5,OP,788.56,2
759.5,OP,792.84,2
759.5,OP,801.08,2
744.61,OP,764.43,2
744.61,OP,780.25,2
744.61,OP,788.36,2
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
828,OP,207,1
846,OP,211.5,1
846,OP,211.5,1
846,OP,211.5,1
846,OP,211.5,1
846,OP,211.5,1
1737.2,OP,1782.75,2
1737.2,OP,1820.59,2
1737.2,OP,1839.51,2
902.86,OP,933.41,2
902.86,OP,943.85,2
902.86,OP,953.66,2
18,CASH,18,6
18,CASH,18,6
80,CASH,331.29,3
80,CASH,331.29,3
60,CASH,127,3
60,CASH,127,3
60,CASH,123.22,3
60,CASH,123.22,3
94,CASH,401.13,3
94,CASH,401.13,3
40,OP,170.47,3
156,OP,165.73,3
156,CASH,160.26,3
156,CASH,160.26,3
156,CASH,163.45,3
156,CASH,163.45,3
1140,CASH,241.53,3
1140,CASH,241.53,3
450,CASH,950.22,3
450,CASH,950.22,3
450,CASH,950.26,3
450,CASH,950.26,3
222,CASH,222,4
222,CASH,222,4
70,CASH,288.5,3
70,CASH,288.5,3
55,CASH,227,3
55,CASH,227,3
176,CASH,720,3
176,CASH,720,3
1280,OP,5450.24,6
168,CASH,176.9,6
168,CASH,176.9,6
168,OP,172.02,6
168,CASH,182.86,6
168,CASH,182.86,6
2310,OP,822.33,2
2310,OP,810.89,2
2310,CASH,816.56,2
2310,CASH,816.56,2
2310,CASH,813.47,2
2310,CASH,813.47,2
573,CASH,2457.37,3
573,CASH,2457.37,3
480,CASH,480,3
480,CASH,480,3
71,CASH,290.87,3
71,CASH,290.87,3
33,CASH,135.19,3
33,CASH,135.19,3
1500,CASH,205.04,3
1500,CASH,205.04,3
136.7,CASH,136.7,4
136.7,CASH,136.7,4
136.7,CASH,136.7,4
136.7,CASH,136.7,4
416,CASH,416,4
416,CASH,416,4
42.66,CASH,42.66,4
42.66,CASH,42.66,4
42.66,CASH,42.66,4
42.66,CASH,42.66,4
20.6,CASH,20.6,4
20.6,CASH,20.6,4
18.89,CASH,18.89,4
18.89,CASH,18.89,4
20.6,CASH,20.6,4
20.6,CASH,20.6,4
20.6,CASH,20.6,4
20.6,CASH,20.6,4
81,CASH,81,4
81,CASH,81,4
112.5,CASH,112.5,4
112.5,CASH,112.5,4
81,CASH,81,4
81,CASH,81,4
1493,OP,1590,2
1493,OP,1539.37,2
1493,OP,1562.05,2
786,OP,814.53,2
786,OP,832.01,2
39,CASH,39,4
39,CASH,39,4
80,CASH,80,4
80,CASH,80,4
39,CASH,39,4
39,CASH,39,4
39,CASH,39,4
39,CASH,39,4
400,CASH,400,1
400,CASH,400,1
1357,OP,1461.83,5
1357,OP,1440.61,5
1357,OP,1387.49,5
1357,OP,1431.73,5
544,OP,572.04,2
544,OP,561.27,2
544,OP,569.54,2
968,OP,968,1
332,OP,1406.78,6
801,OP,853.08,2
801,OP,859.56,2
801,OP,825.4,2
801,OP,837.56,2
888,OP,935.04,2
888,OP,916.19,2
888,OP,929.69,2
926,OP,1001.13,2
926,OP,950.96,2
926,OP,955.3,2
926,OP,983.97,2
601,OP,648.97,2
601,OP,617.5,2
601,OP,620.32,2
601,OP,638.94,2
1568,OP,1684.74,2
1568,OP,1613.75,2
1568,OP,1621.12,2
1568,OP,1669.76,2
1568,OP,394.94,2
455,OP,495.01,2
455,OP,480.2,2
455,OP,462.5,2
455,OP,477.24,2
455,OP,495.01,2
455,OP,480.2,2
455,OP,462.5,2
455,OP,477.24,2
801,OP,862.23,2
801,OP,849.92,2
801,OP,818.58,2
801,OP,844.68,2
941,OP,1012.3,2
941,OP,998.66,2
941,OP,961.83,2
941,OP,992.5,2
798,OP,862.17,2
798,OP,845.67,2
798,OP,814.49,2
798,OP,840.46,2
731,OP,795.41,2
731,OP,773.43,2
731,OP,744.91,2
731,OP,768.66,2
793,OP,854.8,2
793,OP,815.11,2
793,OP,818.83,2
793,OP,843.4,2
1298,OP,1400.33,2
1298,OP,1333.81,2
1298,OP,1339.9,2
1298,OP,1380.11,2
1008,OP,1008,1
768,OP,384,1
768,OP,384,1
991,OP,496,1
991,OP,495,1
738,OP,369,1
738,OP,369,1
738,OP,369,1
738,OP,369,1
991,OP,496,1
991,OP,495,1
127,OP,64,1
127,OP,63,1
127,OP,64,1
127,OP,63,1
1222,OP,611,1
1222,OP,611,1
1222,OP,611,1
1222,OP,611,1
1222,OP,611,1
1222,OP,611,1
991,OP,496,1
991,OP,495,1
738,OP,369,1
738,OP,369,1
1014,OP,507,1
1014,OP,507,1
738,OP,369,1
957,OP,479,1
