id,is_persoana_juridica,is_societate_de_leasing,judet,is_pensionar,is_bugetar,client_pierdut
4866,0,0,nsp,0,0,0
4867,0,0,nsp,0,0,1
4868,0,0,nsp,0,0,0
4869,0,0,nsp,0,0,0
4870,0,0,nsp,0,0,0
4871,0,0,nsp,0,0,0
4872,0,0,nsp,0,0,1
4873,0,0,nsp,0,0,0
4874,0,0,nsp,0,0,0
4875,0,0,nsp,0,0,0
4876,0,0,nsp,0,0,0
4877,0,0,nsp,0,0,0
4878,0,0,nsp,0,0,1
4879,0,0,nsp,0,0,0
4880,0,0,nsp,0,0,0
4881,0,0,nsp,0,0,0
4882,0,0,nsp,0,0,0
4883,0,0,nsp,0,0,0
4884,0,0,nsp,0,0,1
4885,0,0,nsp,0,0,0
4886,0,0,nsp,0,0,0
4887,0,0,nsp,0,0,0
4888,0,0,nsp,0,0,0
4889,0,0,nsp,0,0,1
4890,0,0,SM,0,0,1
4891,0,0,nsp,0,0,0
4892,0,0,nsp,0,0,0
4893,0,0,nsp,0,0,0
4894,0,0,nsp,0,0,0
4895,0,0,nsp,0,0,0
4896,0,0,nsp,0,0,0
4897,0,0,MS,0,0,1
4898,0,0,nsp,0,0,0
4899,0,0,nsp,0,0,0
4900,0,0,nsp,0,0,0
4901,0,0,nsp,0,0,0
4902,0,0,MM,0,0,0
4903,0,0,nsp,0,0,1
4904,0,0,nsp,0,0,0
4905,0,0,nsp,0,0,0
4906,1,0,MM,0,0,1
4907,0,0,nsp,0,0,0
4908,0,0,nsp,0,0,0
4909,0,0,nsp,0,0,1
4910,0,0,nsp,0,0,0
4911,0,0,nsp,0,0,0
4912,0,0,SM,0,0,0
4913,0,0,SM,0,0,0
4914,0,0,nsp,0,0,0
4915,0,0,nsp,0,0,0
4916,0,0,nsp,0,0,0
4917,0,0,nsp,0,0,0
4918,0,0,nsp,0,0,0
4919,0,0,nsp,0,0,0
4920,0,0,nsp,0,0,0
4921,0,0,nsp,0,0,0
4922,0,0,nsp,0,0,0
4923,0,0,nsp,0,0,0
4924,0,0,nsp,0,0,1
4925,0,0,nsp,0,0,0
4926,0,0,nsp,0,0,0
4927,0,0,nsp,0,0,0
4928,0,0,nsp,0,0,0
4929,1,0,nsp,0,0,0
4930,0,0,nsp,0,0,0
4931,0,0,nsp,0,0,0
4932,0,0,nsp,0,0,0
4933,0,0,nsp,0,0,0
4934,0,0,nsp,0,0,0
4935,0,0,BZ,0,0,1
4936,0,0,SM,0,0,0
4937,0,0,nsp,0,0,0
4938,0,0,nsp,0,0,0
4939,0,0,nsp,0,0,0
4940,0,0,nsp,0,0,0
4941,1,0,nsp,0,0,0
4942,0,0,nsp,0,0,0
4943,0,0,nsp,0,0,0
4944,0,0,nsp,0,0,0
4945,0,0,MM,0,0,1
4946,1,0,nsp,0,0,0
4947,0,0,SM,0,0,0
4948,1,0,nsp,0,0,0
4949,0,0,nsp,0,0,0
4950,1,0,nsp,0,0,0
4951,0,0,nsp,0,0,0
4952,0,0,nsp,0,0,0
4953,0,0,nsp,0,0,0
4954,0,0,nsp,0,0,0
4955,0,0,nsp,0,0,0
4956,0,0,nsp,0,0,0
4957,0,0,nsp,0,0,1
4958,0,0,nsp,0,0,0
4959,0,0,nsp,0,0,0
4960,1,0,nsp,0,0,0
4961,0,0,nsp,0,0,0
4962,0,0,nsp,0,0,0
4963,0,0,nsp,0,0,0
4964,0,0,nsp,0,0,0
4965,0,0,nsp,0,0,0
4966,0,0,nsp,0,0,0
4967,0,0,nsp,0,0,0
4968,0,0,nsp,0,0,0
4969,0,0,nsp,0,0,0
4970,0,0,nsp,0,0,0
4971,0,0,nsp,0,0,0
4972,0,0,nsp,0,0,0
4973,0,0,nsp,0,0,0
4974,0,0,nsp,0,0,0
4975,0,0,nsp,0,0,0
4976,0,0,nsp,0,0,0
4977,0,0,nsp,0,0,0
4978,0,0,nsp,0,0,0
4979,0,0,nsp,0,0,0
4980,0,0,nsp,0,0,0
4981,0,0,nsp,0,0,0
4982,0,0,nsp,0,0,1
4983,0,0,nsp,0,0,0
4984,0,0,nsp,0,0,0
4985,0,0,nsp,0,0,0
4986,0,0,nsp,0,0,0
4987,1,0,nsp,0,0,0
4988,0,0,SB,0,0,0
4989,0,0,nsp,0,0,0
4990,0,0,nsp,0,0,0
4991,0,0,nsp,0,0,0
4992,0,0,nsp,0,0,0
4993,0,0,nsp,0,0,0
4994,0,0,nsp,0,0,0
4995,0,0,nsp,0,0,0
4996,0,0,nsp,0,0,0
4997,0,0,nsp,0,0,0
4998,0,0,nsp,0,0,0
4999,0,0,nsp,0,0,0
5000,0,0,nsp,0,0,0
5001,0,0,nsp,0,0,0
5002,0,0,nsp,0,0,0
5003,0,0,nsp,0,0,0
5004,0,0,nsp,0,0,0
5005,0,0,nsp,0,0,0
5006,0,0,nsp,0,0,0
5007,0,0,nsp,0,0,0
5008,0,0,nsp,0,0,0
5009,0,0,nsp,0,0,0
5010,0,0,nsp,0,0,0
5011,0,0,nsp,0,0,0
5012,1,0,nsp,0,0,0
5013,0,0,nsp,0,0,0
5014,0,0,nsp,0,0,0
5015,0,0,nsp,0,0,0
5016,0,0,nsp,0,0,0
5017,0,0,nsp,0,0,0
5018,0,0,nsp,0,0,0
5019,0,0,nsp,0,0,1
5020,0,0,nsp,0,0,0
5021,0,0,nsp,0,0,0
5022,0,0,AB,0,0,0
5023,0,0,nsp,0,0,0
5024,0,0,nsp,0,0,0
5025,0,0,nsp,0,0,0
5026,0,0,nsp,0,0,0
5027,0,0,nsp,0,0,0
5028,0,0,nsp,0,0,0
5029,0,0,nsp,0,0,0
5030,0,0,nsp,0,0,0
5031,0,0,nsp,0,0,0
5032,0,0,nsp,0,0,0
5033,0,0,nsp,0,0,0
5034,0,0,nsp,0,0,0
5035,0,0,nsp,0,0,0
5036,0,0,nsp,0,0,0
5037,0,0,nsp,0,0,0
5038,0,0,nsp,0,0,0
5039,0,0,nsp,0,0,0
5040,0,0,nsp,0,0,0
5041,1,0,nsp,0,0,0
5042,0,0,nsp,0,0,0
5043,0,0,nsp,0,0,0
5044,0,0,nsp,0,0,0
5045,0,0,nsp,0,0,0
5046,0,0,nsp,0,0,0
5047,0,0,nsp,0,0,0
